0, 28
1, 20
2, 24
3, 30
4, 19
5, 21
6, 34
7, 29
8, 23
9, 30
10, 23
11, 29
12, 29
13, 31
14, 30
15, 39
16, 21
17, 28
18, 21
19, 39
20, 16
21, 19
22, 34
23, 33
24, 23
25, 24
26, 13
27, 43
28, 21
29, 26
30, 34
31, 28
32, 12
33, 22
34, 23
35, 36
36, 28
37, 34
38, 25
39, 30
40, 21
41, 18
42, 16
43, 33
44, 24
45, 24
46, 25
47, 39
48, 16
49, 25
50, 19
51, 27
52, 15
53, 23
54, 25
55, 38
56, 19
57, 19
58, 31
59, 33
60, 18
61, 23
62, 38
63, 36
64, 14
65, 21
66, 25
67, 36
68, 21
69, 14
70, 27
71, 41
72, 14
73, 31
74, 29
75, 32
76, 20
77, 24
78, 30
79, 34
80, 16
81, 15
82, 19
83, 24
84, 12
85, 21
86, 25
87, 24
88, 16
89, 16
90, 30
91, 38
92, 17
93, 24
94, 35
95, 38
96, 17
97, 25
98, 27
99, 47
100, 24
101, 18
102, 38
103, 47
104, 19
105, 20
106, 25
107, 33
108, 28
109, 24
110, 29
111, 39
112, 25
113, 25
114, 27
115, 25
116, 14
117, 33
118, 35
119, 34
120, 18
121, 22
122, 31
123, 41
124, 33
125, 29
126, 28
127, 32
128, 20
129, 29
130, 29
131, 28
132, 30
133, 17
134, 27
135, 31
136, 28
137, 22
138, 26
139, 38
140, 19
141, 29
142, 28
143, 21
144, 30
145, 16
146, 23
147, 24
148, 29
149, 24
150, 39
151, 30
152, 25
153, 22
154, 21
155, 45
156, 18
157, 28
158, 40
159, 32
160, 22
161, 32
162, 30
163, 24
164, 23
165, 27
166, 28
167, 30
168, 20
169, 29
170, 28
171, 30
172, 24
173, 26
174, 33
175, 31
176, 17
177, 17
178, 23
179, 27
180, 16
181, 33
182, 26
183, 30
184, 24
185, 23
186, 29
187, 27
188, 34
189, 34
190, 36
191, 35
192, 30
193, 27
194, 25
195, 26
196, 25
197, 33
198, 38
199, 22
200, 27
201, 29
202, 28
203, 28
204, 25
205, 32
206, 25
207, 25
208, 15
209, 31
210, 25
211, 23
212, 18
213, 16
214, 40
215, 36
216, 24
217, 15
218, 34
219, 21
220, 26
221, 28
222, 36
223, 40
224, 28
225, 23
226, 32
227, 30
228, 32
229, 27
230, 30
231, 36
232, 22
233, 32
234, 25
235, 21
236, 30
237, 26
238, 30
239, 39
240, 23
241, 24
242, 19
243, 20
244, 29
245, 24
246, 24
247, 32
248, 15
249, 33
250, 26
251, 28
252, 27
253, 25
254, 37
255, 35
256, 29
257, 20
258, 34
259, 16
260, 29
261, 29
262, 40
263, 41
264, 36
265, 20
266, 33
267, 31
268, 20
269, 33
270, 38
271, 29
272, 29
273, 20
274, 30
275, 38
276, 23
277, 26
278, 30
279, 26
280, 25
281, 16
282, 35
283, 26
284, 32
285, 23
286, 50
287, 20
288, 24
289, 26
290, 28
291, 29
292, 23
293, 26
294, 33
295, 29
296, 25
297, 22
298, 31
299, 29
300, 27
301, 24
302, 24
303, 28
304, 23
305, 24
306, 24
307, 34
308, 29
309, 19
310, 26
311, 37
312, 24
313, 26
314, 24
315, 31
316, 35
317, 25
318, 32
319, 31
320, 19
321, 23
322, 28
323, 32
324, 39
325, 26
326, 30
327, 28
328, 30
329, 20
330, 36
331, 26
332, 30
333, 17
334, 44
335, 29
336, 28
337, 15
338, 31
339, 23
340, 28
341, 24
342, 35
343, 27
344, 25
345, 18
346, 34
347, 29
348, 28
349, 30
350, 41
351, 35
352, 17
353, 22
354, 27
355, 26
356, 29
357, 23
358, 36
359, 34
360, 24
361, 26
362, 30
363, 25
364, 29
365, 27
366, 44
367, 33
368, 22
369, 17
370, 20
371, 30
372, 19
373, 24
374, 28
375, 34
376, 28
377, 25
378, 33
379, 29
380, 28
381, 32
382, 22
383, 29
384, 27
385, 28
386, 28
387, 22
388, 26
389, 24
390, 27
391, 33
392, 24
393, 28
394, 23
395, 31
396, 25
397, 21
398, 24
399, 26
400, 21
401, 16
402, 30
403, 25
404, 26
405, 25
406, 25
407, 35
408, 22
409, 28
410, 16
411, 18
412, 32
413, 29
414, 39
415, 28
416, 15
417, 24
418, 35
419, 24
420, 27
421, 24
422, 38
423, 26
424, 30
425, 17
426, 25
427, 30
428, 34
429, 41
430, 39
431, 36
